,Name,Born,Party,Bundesland,Gender,Age
2512,Peter Schimke ,  ,  ,  ,,
2514,Gerhard Kalinka ,  ,  ,  ,,
2515,Ayten Kaplan ,  ,  ,  ,,
2516,Lutz Köhler ,  ,  ,  ,,
2517,Simon Dennenmoser ,  ,  ,  ,,
2518,barbara havliza ,  ,  ,  ,,
2520,Christoph Zeitler ,  ,  ,  ,,
2528,Carina Schmidt ,  ,  ,  ,,
2529,Markus Tutsch ,  ,  ,  ,,
2530,Barbara Pfeuffer ,  ,  ,  ,,
2531,Gerhard Kaltner ,  ,  ,  ,,
2534,Patrick Frisch ,  ,  ,  ,,
2535,Hannes Walter ,  ,  ,  ,,
2536,Gereon Wolters ,  ,  ,  ,,
2537,Michael Breilmann ,  ,  ,  ,,
2538,antiatom ,  ,  ,  ,,
2539,verkehrspolitik ,  ,  , Bayern ,,
2540,Lutz Hermann ,  ,  ,  ,,
2541,bernd althusmann ,  ,  ,  ,,
2542,Marc Piazolo ,  ,  ,  ,,
2543,Manuela Holz ,  ,  ,  ,,
2544,Jürgen Klingler ,  ,  ,  ,,
2547,olaf scholz ,  ,  ,  ,,
2548,parteiprogramm ,  ,  , Bayern ,,
2549,Thomas Schell ,  ,  ,  ,,
2550,Elke Christina Röder ,  ,  ,  ,,
2552,Martina Böswald ,  ,  ,  ,,
2554,Florian Glock ,  ,  ,  ,,
2555,Andreas Schlüter ,  ,  , Berlin ,,
2556,Roman Baumgartner ,  ,  ,  ,,
2557,jamaikakoalition ,  ,  , Saarland ,,
2559,Hendrik Theemann ,  ,  ,  ,,
2560,Silvia Brock ,  ,  ,  ,,
2562,heiko maas ,  ,  ,  ,,
2563,Saskia Jürgens ,  ,  ,  ,,
2564,Thomas Lewing ,  ,  ,  ,,
2565,Ilka Brehmer ,  ,  ,  ,,
2566,Monika Geils ,  ,  ,  ,,
2567,Karin Küsel ,  ,  ,  ,,
2568,Jessica Kaußen ,  ,  ,  ,,
2570,Ute Michel ,  ,  ,  ,,
2572,Adrian Gabriel ,  ,  ,  ,,
2574,Katrin Lechler ,  ,  ,  ,,
2575,Matthias Grunert ,  ,  ,  ,,
2577,Michael Dietz ,  ,  ,  ,,
2578,Dorit Loos ,  ,  ,  ,,
2579,Horst Förster ,  ,  , Mecklenburg-Vorpommern ,,
2580,Reiner Jenkel ,  ,  ,  ,,
2581,Maria Winter ,  ,  , Berlin ,female,
2582,atomenergie ,  ,  , Berlin ,,
2583,Gerd Breternitz ,  ,  ,  ,,
2584,pegida ,  ,  , Bayern ,,
2585,Juliane Krause ,  ,  ,  ,,
2586,Jörg Schneider ,  ,  ,  ,,
2587,Stephan Schmidt ,  ,  ,  ,,
2589,Christoph Meyer ,  ,  ,  ,,
2590,Rolf Grüning ,  ,  ,  ,,
2592,Jürgen Heinen ,  ,  ,  ,,
2594,Christoph Dolle ,  ,  ,  ,,
2595,Volker Janson ,  ,  ,  ,,
2599,populistisch ,  ,  , Berlin ,,
2601,schäuble ,  ,  ,  ,,
2603,Christian Stetten ,  ,  ,  ,,
2604,Katharina Maier ,  ,  ,  ,,
2606,Ansgar Mertens ,  ,  ,  ,,
2607,Neele Schauer ,  ,  ,  ,,
2608,Andreas Handt ,  ,  ,  ,,
2610,Natalie Pawlik ,  ,  ,  ,,
2611,Lothar Brandau ,  ,  ,  ,,
2614,Stephanie Scharfenberg ,  ,  ,  ,,
2615,Jens Lange ,  ,  ,  ,,
2616,Ruth Tietz ,  ,  ,  ,,
2617,Bernhard Sander ,  ,  ,  ,,
2618,Berengar Elsner von Gronow ,  ,  ,  ,,
2620,schwesig ,  ,  ,  ,,
2621,Johannes Dallheimer ,  ,  ,  ,,
2622,Hubert Nowack ,  ,  ,  ,,
2624,Andreas Leps ,  ,  ,  ,,
2626,Stefan Dahlmanns ,  ,  ,  ,,
2627,oezdemir ,  ,  ,  ,,
2628,Ralf Conradi ,  ,  ,  ,,
2629,Regina Rapp ,  ,  ,  ,,
2630,Sylvia Meyer ,  ,  ,  ,,
2631,paul podolay ,  ,  ,  ,,
2632,Stefan Meiners ,  ,  ,  ,,
2633,Sabine Stellrecht-Schmidt ,  ,  ,  ,,
2635,Dirk Kranefuss ,  ,  ,  ,,
2639,Friedrich Vosberg ,  ,  ,  ,,
2640,Frauke Havekost ,  ,  ,  ,,
2641,Michael Jantzer ,  ,  ,  ,,
2643,Christoph Saßen ,  ,  ,  ,,
2644,Anna Schmidhuber ,  ,  ,  ,,
2645,Gerald Unger ,  ,  ,  ,,
2647,Georg Hock ,  ,  ,  ,,
2649,Stephan Rauhut ,  ,  ,  ,,
2650,Alexander Wolf ,  ,  ,  ,,
2651,Julia Scheffler ,  ,  ,  ,,
2652,Volker Ullrich ,  ,  ,  ,,
2653,Monika Christann ,  ,  ,  ,,
2655,Birgit Brennecke ,  ,  ,  ,,
2656,Gisela Helgath ,  ,  ,  ,,
2657,Uwe Geisler ,  ,  ,  ,,
2660,Jörn Leunert ,  ,  ,  ,,
2661,Simone Thiel ,  ,  ,  ,,
2662,Michael Dörr ,  ,  ,  ,,
2663,Rafael Hauptmann ,  ,  ,  ,,
2664,Christian Avenarius ,  ,  ,  ,,
2666,Ingo Schäfer ,  ,  ,  ,,
2667,Bernhard Kösslinger ,  ,  ,  ,,
2669,Frank Dinnebier ,  ,  ,  ,,
2670,Stefan Gerbig ,  ,  ,  ,,
2671,Michael Hose ,  ,  ,  ,,
2672,Peter Wenzel ,  ,  ,  ,,
2673,Carl Christian Hirsch ,  ,  ,  ,male,
2675,Max Keck ,  ,  ,  ,,
2677,Michael Kaufmann ,  ,  ,  ,,
2678,Franz Brunner ,  ,  ,  ,,
2679,Stefanie Hantke ,  ,  ,  ,,
2680,familienpolitik ,  ,  , Niedersachsen ,,
2681,Michael Letter ,  ,  ,  ,,
2682,Christoph Maier ,  ,  ,  ,,
2683,Andreas Schuffenhauer ,  ,  ,  ,,
2684,Norbert Großklaus ,  ,  ,  ,,
2685,André Oehler ,  ,  ,  ,,
2687,Kadriye Pile ,  ,  ,  ,,
2692,Maximilian Mörseburg ,  ,  ,  ,,
2693,Jeanne Dillschneider ,  ,  ,  ,,
2694,Jörg Bornack ,  ,  ,  ,,
2695,frauenquote ,  ,  , Nordrhein-Westfalen ,,
2696,Simon Pschorr ,  ,  ,  ,,
2699,Antonia Niecke ,  ,  ,  ,,
2700,bundesverfassungsgericht ,  ,  , Bayern ,,
2701,armin laschet ,  ,  ,  ,,
2703,Niklas Wagener ,  ,  ,  ,,
2704,Jörg Berens ,  ,  ,  ,,
2705,Marcus Seidel ,  ,  ,  ,,
2706,Dietmar Gedig ,  ,  ,  ,,
2708,Jan-Niclas Gesenhues ,  ,  ,  ,,
2709,hannelore kraft ,  ,  ,  ,,
2710,Thomas Schlick ,  ,  ,  ,,
2711,wahlversprechen ,  ,  ,  ,,
2713,Johannes Seither ,  ,  ,  ,,
2714,Karolin Müller ,  ,  ,  ,,
2715,Florian Lorenzen ,  ,  ,  ,,
2716,bundeswehr ,  ,  , Bayern ,,
2717,Rose Pauly ,  ,  ,  ,,
2718,Timm Kempf ,  ,  ,  ,,
2719,Gerd Plorin ,  ,  ,  ,,
2720,Timo Koschnick ,  ,  ,  ,,
2721,Florian Weinzierl ,  ,  ,  ,,
2722,Christoph Fay ,  ,  ,  ,,
2723,Ecevit Emre ,  ,  ,  ,,
2724,Robert Rankl ,  ,  ,  ,,
2725,Jochen Rohrberg ,  ,  ,  ,,
2726,Karin Lölkes ,  ,  ,  ,,
2728,Stefan Vogel ,  ,  ,  ,,
2729,Kurt Schreck ,  ,  ,  ,,
2730,Brigitte Wolf ,  ,  ,  ,,
2731,Martin Reichardt ,  ,  ,  ,,
2734,ezb ,  ,  , Berlin ,,
2735,soziale gerechtigkeit ,  ,  ,  ,,
2737,Oliver Schweim ,  ,  ,  ,,
2738,Daniel Kerekes ,  ,  ,  ,,
2740,politiker ,  ,  ,  ,,
2741,Sabine Zeidler ,  ,  ,  ,,
2743,Martina Selzer ,  ,  ,  ,,
2744,Peter Helbing ,  ,  ,  ,,
2745,Martin Malcherek ,  ,  ,  ,,
2746,Sebastian Rave ,  ,  ,  ,,
2748,Stefan Mix ,  ,  ,  ,,
2751,Alexandra Weirich ,  ,  ,  ,,
2752,Christian Hohn ,  ,  ,  ,,
2753,Monika Berger ,  ,  ,  ,,
2754,Maik Schwarz ,  ,  ,  ,,
2755,Leonie Wolf ,  ,  ,  ,,
2756,Winfried Bernhardt ,  ,  ,  ,,
2758,Christoph Schmid ,  ,  ,  ,,
2759,Manfred Krönauer ,  ,  ,  ,,
2762,Thomas Stumpf ,  ,  ,  ,,
2763,Theresa Gröninger ,  ,  ,  ,,
2764,Claas Merfort ,  ,  ,  ,,
2766,Jürgen Hoffmann ,  ,  ,  ,,
2767,Jochen Bülow ,  ,  ,  ,,
2768,Gilbert Kalb ,  ,  ,  ,,
2769,Walter Lohner ,  ,  ,  ,,
2770,Alexander King ,  ,  ,  ,,
2771,Andreas Paul ,  ,  ,  ,,
2772,Tibor Harrach ,  ,  ,  ,,
2773,Burkhard Bisanz ,  ,  ,  ,,
2775,Catherine Kern ,  ,  ,  ,,
2778,Benjamin Nolte ,  ,  ,  ,,
2781,Dietrich Burchard ,  ,  ,  ,,
2782,Andrea Krier ,  ,  ,  ,,
2783,Stefan Franzke ,  ,  ,  ,,
2785,Volker Münz ,  ,  ,  ,,
2786,Sabine von der Beck ,  ,  ,  ,,
2789,Christel Gontrum ,  ,  ,  ,,
2791,rentenreform ,  ,  ,  ,,
2793,Claudia Manke ,  ,  ,  ,,
2794,Andreas Mehltretter ,  ,  ,  ,,
2795,Karen Haltaufderheide ,  ,  ,  ,,
2796,Sascha Bahl ,  ,  ,  ,,
2797,Andreas Appelt ,  ,  ,  ,,
2798,endlagerung ,  ,  , Sachsen ,,
2800,Michael Sauer ,  ,  ,  ,,
2801,Thomas Bursian ,  ,  ,  ,,
2803,Christian Spiegelberg ,  ,  ,  ,male,
2804,Stefan Ringer ,  ,  ,  ,,
2805,Britta Schenk ,  ,  ,  ,,
2806,Alexander Kauz ,  ,  ,  ,,
2807,Christine Zips ,  ,  ,  ,,
2808,Dirk Methfessel ,  ,  ,  ,,
2811,Stephan Boyens ,  ,  ,  ,,
2814,Miriam Matz ,  ,  ,  ,,
2815,Tim Wortmann ,  ,  ,  ,,
2817,finanzpolitik ,  ,  ,  ,,
2818,Wolfgang Schmitt ,  ,  ,  ,,
2820,Valentin Veithen ,  ,  ,  ,,
2821,martin schulz ,  ,  ,  ,,
2822,Torsten Hoffmann ,  ,  ,  ,male,
2823,wahl17 ,  ,  ,  ,,
2824,Joachim Kotteck ,  ,  ,  ,,
2825,Volker Holzendorf ,  ,  ,  ,,
2826,Ralf Berlingen ,  ,  , Berlin ,,
2828,Thomas Seitz ,  ,  ,  ,,
2829,Ralph Zimmermann ,  ,  ,  ,,
2831,Joachim Schneider ,  ,  ,  ,,
2832,Hans-Jürgen Schmidt ,  ,  ,  ,,
2833,cdu ,  ,  ,  ,,
2834,Elisa Gerbsch ,  ,  ,  ,,
2835,wähler ,  ,  ,  ,,
2836,Mario Hennig ,  ,  ,  ,,
2838,Denise Klein ,  ,  ,  ,,
2839,Katja Grosch ,  ,  ,  ,,
2840,Christina Henke ,  ,  ,  ,,
2841,Tilo Hellmann ,  ,  ,  ,,
2842,Manfred Berchem ,  ,  ,  ,,
2846,Matthias Stiel ,  ,  ,  ,,
2849,solidaritätszuschlag ,  ,  ,  ,,
2851,Marcel Duda ,  ,  ,  ,,
2852,Jochen Schmidt ,  ,  ,  ,,
2853,Bettina Hoffmann ,  ,  ,  ,,
2854,Anatoli Trenkenschu ,  ,  ,  ,,
2855,Eric Holtschke ,  ,  ,  ,,
2856,Marion Köllner ,  ,  ,  ,,
2858,Nicolas Sölter ,  ,  ,  ,,
2859,landtag ,  ,  , Hessen ,,
2861,Anja König ,  ,  ,  ,,
2862,Anja Zeller ,  ,  ,  ,,
2863,Marco Stöger ,  ,  ,  ,,
2864,Tim Hundertmark ,  ,  ,  ,,
2866,Birgit Otto ,  ,  ,  ,,
2867,Christian Tichatschke ,  ,  ,  ,,
2868,Tevfik Özkan ,  ,  ,  ,,
2870,Michael Ney ,  ,  , Bayern ,,
2871,Krzysztof Walczak ,  ,  ,  ,,
2872,Elias Knell ,  ,  ,  ,,
2873,Dirk Mrotzeck ,  ,  ,  ,,
2874,Nadine Bernshausen ,  ,  ,  ,,
2877,Sinisa Obradovic ,  ,  ,  ,,
2878,Patrick Voss ,  ,  ,  ,,
2879,Jörg Kloppenburg ,  ,  ,  ,,
2880,Sabine Sackreuther ,  ,  ,  ,,
2881,Petra Seifert ,  ,  ,  ,,
2882,Bruno Jöbkes ,  ,  ,  ,,
2883,Stefanie Knecht ,  ,  ,  ,,
2884,Andreas Philippi ,  ,  ,  ,,
2886,Sebastian Merkens ,  ,  ,  ,,
2889,Oswald Greim ,  ,  ,  ,,
2890,Paula Elsholz ,  ,  ,  ,,
2891,hartz4 ,  ,  , Niedersachsen ,,
2892,Klaus Brinkmann ,  ,  , Baden-Württemberg ,,
2893,Rainer Kraft ,  ,  ,  ,,
2894,Christoph Burandt ,  ,  ,  ,,
2895,Theresia Lanig ,  ,  ,  ,,
2897,Jürgen Repschläger ,  ,  ,  ,,
2899,Hans Knust ,  ,  ,  ,,
2900,Leon Hahn ,  ,  ,  ,,
2901,Uta Strewe ,  ,  ,  ,,
2902,finanzkrise ,  ,  , Berlin ,,
2904,Klaus Riedelsdorf ,  ,  ,  ,,
2905,Kole Gjoka ,  ,  ,  ,,
2907,Marilyn Heib ,  ,  ,  ,,
2908,Michael Schulte ,  ,  ,  ,,
2909,Jörg Schindler ,  ,  ,  ,,
2911,Helga Ebel ,  ,  ,  ,,
2912,David Wade ,  ,  ,  ,,
2914,Joachim Senger ,  ,  ,  ,,
2915,Benjamin Zilles ,  ,  ,  ,,
2916,Gregor Merkel ,  ,  ,  ,,
2917,Antonia Müller ,  ,  ,  ,,
2918,Kathleen Lützkendorf ,  ,  ,  ,,
2919,Thomas Bauske ,  ,  ,  ,,
2922,Caroline Covolo ,  ,  ,  ,,
2923,Jürgen Braun ,  ,  ,  ,,
2925,Jürgen Kögel ,  ,  ,  ,,
2926,Gunnar Witzmann ,  ,  ,  ,,
2927,Oliver Zander ,  ,  ,  ,,
2929,Uwe Flachsmeyer ,  ,  ,  ,,
2932,Michael Friedrichs ,  ,  ,  ,,
2933,Petra Willemsen ,  ,  ,  ,,
2934,Jörg Nürnberger ,  ,  ,  ,,
2935,Silke Kollster ,  ,  ,  ,,
2936,spdfraktion ,  ,  ,  ,,
2938,infratest ,  ,  , Bayern ,,
2939,Florian Fleig ,  ,  ,  ,,
2940,Hamze Bytyci ,  ,  ,  ,,
2941,Stefan Dreher ,  ,  ,  ,,
2942,Michael Wüst ,  ,  ,  ,,
2943,Christina Rauch ,  ,  ,  ,,
2944,Reinhard Neudorfer ,  ,  ,  ,,
2945,Erich Burmeister ,  ,  ,  ,,
2946,Thomas Damson ,  ,  ,  ,,
2947,Sebastian Sommerer ,  ,  ,  ,,
2948,spd ,  ,  ,  ,,
2950,integrationspolitik ,  ,  , Bayern ,,
2951,Dagmar Hassel ,  ,  ,  ,,
2953,Hakan Taṣ ,  ,  ,  ,,
2954,Ralph Lorenz ,  ,  ,  ,,
2956,Claudia Müller ,  ,  ,  ,,
2959,Christoph Zimmermann ,  ,  ,  ,,
2962,Patrick Fröhlich ,  ,  ,  ,,
2964,Silke Leber ,  ,  ,  ,,
2966,Christine Zillmer ,  ,  ,  ,,
2968,Alois Rainer ,  ,  ,  ,,
2970,Sebastian Walter ,  ,  ,  ,,
2971,Tobias Fischer ,  ,  ,  ,,
2972,Christian Heilmann ,  ,  ,  ,,
2973,Daniela Waiß ,  ,  ,  ,,
2974,Knud Hendricks ,  ,  ,  ,,
2976,bankenaufsicht ,  ,  ,  ,,
2977,Ronny Kienert ,  ,  ,  ,,
2980,Hagen Brauer ,  ,  ,  ,,
2982,Andreas Neuner ,  ,  ,  ,,
2983,Daniel Welp ,  ,  ,  ,,
2984,Doris Aschenbrenner ,  ,  ,  ,,
2990,Taras Maygutiak ,  ,  ,  ,,
2991,altmaier ,  ,  ,  ,,
2992,Marius Radtke ,  ,  ,  ,,
2993,Marcel Aulila ,  ,  ,  ,,
2994,wahl2017 ,  ,  ,  ,,
2996,Marion Terhalle ,  ,  ,  ,,
2997,Katrin Feldmann ,  ,  ,  ,,
2998,Andreas Gebhardt ,  ,  ,  ,,
2999,Enrico Corongiu ,  ,  ,  ,,
3000,Stefan Schmidt ,  ,  ,  ,,
3001,wahlrecht ,  ,  , Bayern ,,
3002,göring-eckardt ,  ,  ,  ,,
3003,Robin Baranski ,  ,  ,  ,,
3004,Kerstin Auerbach ,  ,  ,  ,,
3005,Steffen Helbing ,  ,  ,  ,,
3006,Tanja Bojani ,  ,  ,  ,,
3009,Thorsten Hehl ,  ,  ,  ,,
3010,Ellen Gause ,  ,  ,  ,,
3011,Hans Joachim Berg ,  ,  ,  ,,
3014,Alexander Tietz-Latza ,  ,  ,  ,,
3015,Timur Husein ,  ,  ,  ,,
3016,linkspartei ,  ,  ,  ,,
3017,staatsdefizit ,  ,  ,  ,,
3018,Markus Böhlen ,  ,  ,  ,,
3020,Korbinian Gall ,  ,  ,  ,,
3021,andreas dressel ,  ,  ,  ,,
3023,Jan Schwarz ,  ,  ,  ,,
3024,Tobias Paetz ,  ,  ,  ,,
3025,Klaus Niggemann ,  ,  ,  ,,
3026,birgit honé ,  ,  ,  ,,
3027,agenda 2010 ,  ,  , Berlin ,,
3028,Nadine Siebold ,  ,  ,  ,,
3030,rentenpolitik ,  ,  ,  ,,
3031,Christoph Rösch ,  ,  ,  ,,
3032,Henrik Wärner ,  ,  ,  ,,
3034,wahljahr ,  ,  ,  ,,
3035,Richard Böhringer ,  ,  ,  ,,
3036,joachim stamp ,  ,  ,  ,,
3037,Miro Berbig ,  ,  ,  ,,
3038,Sarah Nerb ,  ,  ,  ,,
3039,Josef Gochermann ,  ,  ,  ,,
3040,Roland Panter ,  ,  ,  ,,
3041,Alexandra Heinen ,  ,  ,  ,,
3042,thorsten albig ,  ,  ,  ,,
3044,Thomas Utz ,  ,  ,  ,,
3045,Johannes Huber ,  ,  ,  ,,
3046,Simon Klaiber ,  ,  ,  ,,
